SECTOR_CODE,CD_NUMBER,CD_DATE,INBOUND_TYPE,ITEM_NUMBER,HS_CODE,QUANTITY,UNIT_PRICE,AMOUNT_USD,CURRENCY_CODE
PCS,010120071017002797,01/10/2007 00:00:00,NORMAL IMPORT 0615,SYN1311B,8517629900,700,18.99,13293,USD
PCS,010120071017034855,01/19/2007 00:00:00,NORMAL IMPORT 0615,SYN1509B,8517629900,600,18.99,11394,USD
PCS,020820071087068820,01/30/2007 00:00:00,NORMAL IMPORT 0615,SYN1685C,8517629900,700,11.64,8148,USD
PCS,020820071087068821,01/30/2007 00:00:00,NORMAL IMPORT 0615,SYN1685C,8517629900,400,11.64,4656,USD
PCS,020820071087053263,02/01/2007 00:00:00,NORMAL IMPORT 0615,SYN1822B,8517629900,300,13.47,4041,USD
PCS,020820071087053263,02/01/2007 00:00:00,NORMAL IMPORT 0615,SYN1822B,8517629900,400,13.47,5388,USD
PCS,020820071087069918,01/30/2007 00:00:00,NORMAL IMPORT 0615,SYN1855B,8517629900,400,13.47,5388,USD
PCS,020320071037073236,01/23/2007 00:00:00,NORMAL IMPORT 0615,SYN1764A,8517629900,750,12.296,9222,USD
PCS,020320071037073375,02/06/2007 00:00:00,NORMAL IMPORT 0615,4888735Y03,8517629900,3300,3.5298,11648.34,USD
PCS,020820071087052912,02/07/2007 00:00:00,NORMAL IMPORT 0615,SYN1853B,8517629900,400,13.47,5388,USD
PCS,010120071017048476,02/06/2007 00:00:00,NORMAL IMPORT 0615,SYN1673A,8517629900,324,35.0056,11341.8144,USD
PCS,010120071017054964,02/09/2007 00:00:00,NORMAL IMPORT 0615,SYN1853B,8517629900,1100,14.2782,15706.02,USD
PCS,010120071017054964,02/09/2007 00:00:00,NORMAL IMPORT 0615,SYN1822B,8517629900,1500,14.2782,21417.3,USD
PCS,010120071017054964,02/09/2007 00:00:00,NORMAL IMPORT 0615,SYN1711A,8517629900,1440,32.9978,47516.832,USD
